sample,assembly,Name,Completeness,Contamination,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Contigs,Max_Contig_Length
SAMEA2466965,LR (metaflye),SemiBin_156.fa,10.84,1.97,0.496,365710,220.7698744769874,636521,0.45,7,365710
SAMEA2466965,LR (metaflye),SemiBin_157.fa,6.48,0.02,0.43,35343,124.5828144458282,692203,0.5,21,61374
SAMEA2466965,LR (metaflye),SemiBin_158.fa,4.11,0.0,0.43,202518,230.4047619047619,202518,0.46,1,202518
SAMEA2466965,LR (metaflye),SemiBin_159.fa,5.86,0.05,0.692,202793,248.5079365079365,202793,0.45,1,202793
SAMEA2466965,LR (metaflye),SemiBin_16.fa,23.52,0.01,0.801,454913,300.5231884057971,775752,0.39,2,454913
SAMEA2466965,LR (metaflye),SemiBin_160.fa,7.22,0.02,0.756,123250,291.2777777777778,207645,0.37,2,123250
SAMEA2466965,LR (metaflye),SemiBin_161.fa,6.7,0.07,0.772,196720,286.1532567049808,288267,0.46,2,196720
SAMEA2466965,LR (metaflye),SemiBin_162.fa,26.87,7.51,0.501,124033,173.407210626186,2719994,0.44,26,307000
SAMEA2466965,LR (metaflye),SemiBin_163.fa,9.01,0.0,0.754,114794,293.1313131313131,344424,0.48,3,142582
SAMEA2466965,LR (metaflye),SemiBin_164.fa,4.56,0.03,0.554,70718,208.4032258064516,348597,0.53,5,82669
SAMEA2466965,LR (metaflye),SemiBin_165.fa,12.89,0.0,0.796,238786,281.4860050890585,415336,0.48,2,238786
SAMEA2466965,LR (metaflye),SemiBin_166.fa,6.46,0.0,0.372,424780,167.2492113564669,424780,0.5,1,424780
SAMEA2466965,LR (metaflye),SemiBin_167.fa,11.21,0.0,0.73,218275,313.1389728096677,425244,0.42,2,218275
SAMEA2466965,LR (metaflye),SemiBin_168.fa,16.56,0.0,0.725,319555,301.5379876796715,606256,0.41,3,319555
SAMEA2466965,LR (metaflye),SemiBin_169.fa,4.96,0.0,0.369,432149,135.479797979798,432149,0.37,1,432149
SAMEA2466965,LR (metaflye),SemiBin_17.fa,15.77,0.0,0.651,308469,300.1897810218978,567638,0.37,2,308469
SAMEA2466965,LR (metaflye),SemiBin_170.fa,7.65,0.0,0.536,441576,162.3803680981595,441576,0.51,1,441576
SAMEA2466965,LR (metaflye),SemiBin_171.fa,10.23,0.0,0.757,320919,251.6541501976285,500394,0.49,2,320919
SAMEA2466965,LR (metaflye),SemiBin_172.fa,9.31,0.11,0.631,100232,269.8480300187617,682246,0.43,7,120008
SAMEA2466965,LR (metaflye),SemiBin_173.fa,7.34,0.0,0.792,200267,281.8829787234043,200267,0.56,1,200267
SAMEA2466965,LR (metaflye),SemiBin_174.fa,5.75,0.0,0.481,204386,225.5068493150685,204386,0.43,1,204386
SAMEA2466965,LR (metaflye),SemiBin_175.fa,4.32,0.0,0.716,38366,214.5151515151515,204843,0.53,6,41714
SAMEA2466965,LR (metaflye),SemiBin_176.fa,7.98,0.0,0.701,217456,285.7640449438202,217456,0.57,1,217456
SAMEA2466965,LR (metaflye),SemiBin_177.fa,7.95,0.0,0.717,218628,278.281914893617,218628,0.58,1,218628
SAMEA2466965,LR (metaflye),SemiBin_178.fa,4.96,0.0,0.49,224658,175.9619047619047,224658,0.53,1,224658
SAMEA2466965,LR (metaflye),SemiBin_179.fa,5.06,0.0,0.435,233853,133.2645914396887,233853,0.53,1,233853
SAMEA2466965,LR (metaflye),SemiBin_18.fa,19.2,0.0,0.655,347012,296.3649289099526,571902,0.4,2,347012
SAMEA2466965,LR (metaflye),SemiBin_180.fa,4.77,0.0,0.595,237924,167.7746478873239,237924,0.52,1,237924
SAMEA2466965,LR (metaflye),SemiBin_181.fa,5.66,0.0,0.701,161541,257.4579831932773,260590,0.53,2,161541
SAMEA2466965,LR (metaflye),SemiBin_182.fa,12.48,0.04,0.9,265001,312.7019607843137,265001,0.43,1,265001
SAMEA2466965,LR (metaflye),SemiBin_183.fa,4.77,0.0,0.59,267898,267.741116751269,267898,0.42,1,267898
SAMEA2466965,LR (metaflye),SemiBin_184.fa,4.95,0.01,0.485,307104,199.6867469879518,307104,0.42,1,307104
SAMEA2466965,LR (metaflye),SemiBin_185.fa,17.71,4.59,0.711,108507,219.7905569007264,1517474,0.56,25,145396
SAMEA2466965,LR (metaflye),SemiBin_186.fa,5.87,0.0,0.792,242456,216.8255033557047,242456,0.48,1,242456
SAMEA2466965,LR (metaflye),SemiBin_187.fa,5.79,0.0,0.724,247366,140.9676674364896,247366,0.41,1,247366
SAMEA2466965,LR (metaflye),SemiBin_188.fa,19.72,10.58,0.754,174052,230.6951871657754,1703126,0.43,12,269471
SAMEA2466965,LR (metaflye),SemiBin_189.fa,5.99,0.01,0.779,260021,319.1650943396227,260021,0.51,1,260021
SAMEA2466965,LR (metaflye),SemiBin_19.fa,25.53,0.12,0.82,584267,342.3254817987152,584267,0.63,1,584267
SAMEA2466965,LR (metaflye),SemiBin_190.fa,5.26,0.0,0.412,74267,160.4646017699115,263144,0.51,4,90333
SAMEA2466965,LR (metaflye),SemiBin_191.fa,5.95,0.0,0.62,184994,265.6935483870968,317917,0.34,2,184994
SAMEA2466965,LR (metaflye),SemiBin_192.fa,7.98,0.01,0.802,329223,278.4889589905363,329223,0.43,1,329223
SAMEA2466965,LR (metaflye),SemiBin_193.fa,7.37,0.0,0.738,349152,225.4493506493506,349152,0.5,1,349152
SAMEA2466965,LR (metaflye),SemiBin_194.fa,8.07,0.0,0.723,365573,212.2583732057416,365573,0.48,1,365573
SAMEA2466965,LR (metaflye),SemiBin_195.fa,6.24,0.0,0.392,132008,134.2133676092545,396212,0.48,3,160512
SAMEA2466965,LR (metaflye),SemiBin_196.fa,5.94,0.0,0.393,220052,116.4466666666667,396590,0.41,2,220052
SAMEA2466965,LR (metaflye),SemiBin_197.fa,6.8,0.0,0.418,150268,114.9519408502773,442382,0.44,3,168496
SAMEA2466965,LR (metaflye),SemiBin_198.fa,9.88,0.0,0.706,471332,184.9801652892562,471332,0.48,1,471332
SAMEA2466965,LR (metaflye),SemiBin_199.fa,7.5,0.01,0.524,109979,209.2901353965184,617383,0.42,5,291253
SAMEA2466965,LR (metaflye),SemiBin_2.fa,81.9,0.43,0.861,1690439,339.4029329608938,1690439,0.59,1,1690439
SAMEA2466965,LR (metaflye),SemiBin_20.fa,25.63,0.13,0.808,591418,338.0720338983051,591418,0.63,1,591418
SAMEA2466965,LR (metaflye),SemiBin_200.fa,9.13,0.03,0.435,114924,138.3487544483986,797488,0.5,9,284630
SAMEA2466965,LR (metaflye),SemiBin_201.fa,6.42,0.0,0.852,200952,262.6146788990825,200952,0.54,1,200952
SAMEA2466965,LR (metaflye),SemiBin_202.fa,7.92,0.02,0.706,175563,254.6685393258427,574841,0.55,3,243240
SAMEA2466965,LR (metaflye),SemiBin_203.fa,4.67,0.0,0.78,104237,325.280487804878,204173,0.53,2,104237
SAMEA2466965,LR (metaflye),SemiBin_204.fa,9.11,0.74,0.789,205887,285.6789473684211,205887,0.45,1,205887
SAMEA2466965,LR (metaflye),SemiBin_205.fa,4.54,0.01,0.415,206385,121.8135593220339,206385,0.48,1,206385
SAMEA2466965,LR (metaflye),SemiBin_206.fa,9.17,0.74,0.762,208635,292.043956043956,208635,0.45,1,208635
SAMEA2466965,LR (metaflye),SemiBin_207.fa,4.43,0.0,0.726,106193,337.6092715231788,209562,0.58,2,106193
SAMEA2466965,LR (metaflye),SemiBin_208.fa,4.74,0.0,0.371,129370,137.5958549222798,213248,0.52,2,129370
SAMEA2466965,LR (metaflye),SemiBin_209.fa,6.68,0.0,0.459,161304,146.1716738197425,221195,0.4,2,161304
SAMEA2466965,LR (metaflye),SemiBin_21.fa,22.05,4.47,0.731,254567,224.4019103600293,1240592,0.43,4,522093
SAMEA2466965,LR (metaflye),SemiBin_210.fa,3.93,0.01,0.417,228352,139.4628820960699,228352,0.53,1,228352
SAMEA2466965,LR (metaflye),SemiBin_211.fa,3.99,0.01,0.516,127175,168.071129707113,231316,0.45,2,127175
SAMEA2466965,LR (metaflye),SemiBin_212.fa,3.8,0.0,0.385,232448,164.9120879120879,232448,0.49,1,232448
SAMEA2466965,LR (metaflye),SemiBin_213.fa,3.79,0.0,0.791,240240,344.7459459459459,240240,0.62,1,240240
SAMEA2466965,LR (metaflye),SemiBin_214.fa,26.58,5.65,0.76,248940,297.4354262378765,2285181,0.59,18,418937
SAMEA2466965,LR (metaflye),SemiBin_215.fa,5.35,0.47,0.52,36475,131.1733746130031,240849,0.42,6,71275
SAMEA2466965,LR (metaflye),SemiBin_216.fa,3.61,0.0,0.706,37494,230.5943775100401,241724,0.54,6,62655
SAMEA2466965,LR (metaflye),SemiBin_217.fa,4.91,0.0,0.621,42241,232.4403669724771,244247,0.44,6,52386
SAMEA2466965,LR (metaflye),SemiBin_218.fa,7.16,0.0,0.79,265370,253.7400722021661,265370,0.48,1,265370
SAMEA2466965,LR (metaflye),SemiBin_219.fa,6.1,0.01,0.706,281725,208.2056074766355,281725,0.47,1,281725
SAMEA2466965,LR (metaflye),SemiBin_22.fa,7.86,0.34,0.88,389420,334.9941520467837,389420,0.43,1,389420
SAMEA2466965,LR (metaflye),SemiBin_220.fa,6.61,0.0,0.51,169356,213.1225296442688,315433,0.5,2,169356
SAMEA2466965,LR (metaflye),SemiBin_221.fa,3.64,0.0,0.29,325751,135.3376068376068,325751,0.42,1,325751
SAMEA2466965,LR (metaflye),SemiBin_222.fa,7.57,0.15,0.71,99200,273.2420814479638,507328,0.44,5,114879
SAMEA2466965,LR (metaflye),SemiBin_223.fa,4.0,0.0,0.392,202415,135.243654822335,202415,0.45,1,202415
SAMEA2466965,LR (metaflye),SemiBin_224.fa,4.71,0.0,0.342,134452,152.2077922077922,204572,0.38,2,134452
SAMEA2466965,LR (metaflye),SemiBin_225.fa,4.26,0.01,0.398,130199,224.6065573770492,206020,0.41,2,130199
SAMEA2466965,LR (metaflye),SemiBin_226.fa,5.31,0.02,0.733,84384,138.5740740740741,209726,0.33,3,97148
SAMEA2466965,LR (metaflye),SemiBin_227.fa,3.8,0.0,0.437,68466,194.3081761006289,211505,0.48,3,87175
SAMEA2466965,LR (metaflye),SemiBin_228.fa,5.29,0.06,0.6,80086,159.9330855018587,214226,0.28,3,87937
SAMEA2466965,LR (metaflye),SemiBin_229.fa,4.85,0.0,0.369,229653,189.36,229653,0.44,1,229653
SAMEA2466965,LR (metaflye),SemiBin_23.fa,7.7,0.38,0.85,403288,323.4915254237288,403288,0.44,1,403288
SAMEA2466965,LR (metaflye),SemiBin_230.fa,3.77,0.37,0.581,67231,138.5779816513761,232070,0.51,4,81470
SAMEA2466965,LR (metaflye),SemiBin_231.fa,3.4,0.0,0.268,136506,136.6100628930818,241919,0.43,2,136506
SAMEA2466965,LR (metaflye),SemiBin_232.fa,4.11,0.0,0.336,80763,162.8639053254438,245254,0.5,3,114077
SAMEA2466965,LR (metaflye),SemiBin_233.fa,4.87,0.64,0.833,251281,285.4081632653061,251281,0.45,1,251281
SAMEA2466965,LR (metaflye),SemiBin_234.fa,4.86,0.63,0.828,251772,285.4344262295082,251772,0.45,1,251772
SAMEA2466965,LR (metaflye),SemiBin_235.fa,3.5,0.0,0.337,252917,113.2529644268775,252917,0.44,1,252917
SAMEA2466965,LR (metaflye),SemiBin_236.fa,5.21,0.0,0.354,262352,176.5965909090909,262352,0.48,1,262352
SAMEA2466965,LR (metaflye),SemiBin_237.fa,5.64,0.0,0.727,89460,289.8468468468469,263977,0.49,3,94134
SAMEA2466965,LR (metaflye),SemiBin_238.fa,3.85,0.0,0.75,61970,252.6917293233083,266804,0.56,4,95298
SAMEA2466965,LR (metaflye),SemiBin_239.fa,3.66,0.0,0.455,151724,142.8027210884354,274931,0.51,2,151724
SAMEA2466965,LR (metaflye),SemiBin_24.fa,7.47,0.04,0.343,677780,169.8665207877462,677780,0.39,1,677780
SAMEA2466965,LR (metaflye),SemiBin_240.fa,7.69,0.34,0.604,81324,155.115,305114,0.55,4,82861
SAMEA2466965,LR (metaflye),SemiBin_241.fa,4.54,0.0,0.798,312322,193.2534246575343,312322,0.59,1,312322
SAMEA2466965,LR (metaflye),SemiBin_242.fa,5.39,0.04,0.716,90706,225.5898876404494,334028,0.45,4,116775
SAMEA2466965,LR (metaflye),SemiBin_243.fa,6.15,1.13,0.612,128843,114.9618644067797,391988,0.32,4,134910
SAMEA2466965,LR (metaflye),SemiBin_244.fa,40.36,12.94,0.585,144036,192.8347107438017,2261585,0.56,20,173007
SAMEA2466965,LR (metaflye),SemiBin_245.fa,21.36,3.7,0.735,114083,285.7052117263844,715645,0.55,6,163485
SAMEA2466965,LR (metaflye),SemiBin_246.fa,28.14,2.43,0.553,184095,220.9920589903573,2107156,0.54,16,286240
SAMEA2466965,LR (metaflye),SemiBin_247.fa,31.85,10.63,0.73,99891,259.883257918552,2345499,0.46,25,262756
SAMEA2466965,LR (metaflye),SemiBin_248.fa,4.8,2.26,0.485,115770,176.5490196078431,277353,0.45,3,115907
SAMEA2466965,LR (metaflye),SemiBin_249.fa,3.73,1.07,0.55,39358,142.8917197452229,242882,0.53,7,57761
SAMEA2466965,LR (metaflye),SemiBin_25.fa,12.94,0.31,0.802,426674,300.7763157894737,426674,0.37,1,426674
SAMEA2466965,LR (metaflye),SemiBin_250.fa,7.13,0.77,0.522,74823,196.8306188925081,346088,0.46,6,104350
SAMEA2466965,LR (metaflye),SemiBin_251.fa,6.33,0.63,0.522,88817,152.1896955503513,370884,0.48,5,107311
SAMEA2466965,LR (metaflye),SemiBin_252.fa,12.1,1.94,0.467,116696,199.3242424242424,841631,0.43,10,184366
SAMEA2466965,LR (metaflye),SemiBin_253.fa,32.6,10.44,0.738,98340,295.5388207822534,2046414,0.58,21,146610
SAMEA2466965,LR (metaflye),SemiBin_254.fa,11.02,8.67,0.756,167939,231.8891069676153,928582,0.47,7,184460
SAMEA2466965,LR (metaflye),SemiBin_255.fa,8.42,3.57,0.571,52301,223.0145772594752,399948,0.43,8,80725
SAMEA2466965,LR (metaflye),SemiBin_256.fa,22.25,8.84,0.771,95044,220.3994867408041,995558,0.46,10,161965
SAMEA2466965,LR (metaflye),SemiBin_257.fa,7.14,1.43,0.517,63928,191.0974358974359,215680,0.46,3,93034
SAMEA2466965,LR (metaflye),SemiBin_258.fa,38.85,15.32,0.523,95854,170.980224609375,3998592,0.48,52,198679
SAMEA2466965,LR (metaflye),SemiBin_259.fa,11.87,1.39,0.681,84637,272.4486486486487,664829,0.42,10,92800
SAMEA2466965,LR (metaflye),SemiBin_26.fa,12.58,0.34,0.774,435649,294.9581151832461,435649,0.39,1,435649
SAMEA2466965,LR (metaflye),SemiBin_260.fa,11.11,8.78,0.856,159339,294.4444444444445,407948,0.37,3,160914
SAMEA2466965,LR (metaflye),SemiBin_261.fa,51.67,18.36,0.561,84935,163.7180173092054,5517616,0.47,86,208781
SAMEA2466965,LR (metaflye),SemiBin_262.fa,35.28,17.32,0.615,124851,236.1442136498516,1935074,0.46,23,148660
SAMEA2466965,LR (metaflye),SemiBin_263.fa,17.99,10.18,0.526,48902,156.9705079191698,1624935,0.46,36,150485
SAMEA2466965,LR (metaflye),SemiBin_264.fa,23.87,9.87,0.643,103995,273.1788526434196,1129883,0.42,12,158369
SAMEA2466965,LR (metaflye),SemiBin_265.fa,18.94,10.21,0.664,172657,286.6982456140351,1106601,0.38,8,196406
SAMEA2466965,LR (metaflye),SemiBin_266.fa,7.94,14.8,0.737,72168,284.8525,460498,0.51,6,92440
SAMEA2466965,LR (metaflye),SemiBin_267.fa,11.77,8.52,0.841,190774,301.0019157088122,558684,0.43,3,190931
SAMEA2466965,LR (metaflye),SemiBin_268.fa,9.49,7.66,0.754,126046,298.9530026109661,908484,0.46,11,149660
SAMEA2466965,LR (metaflye),SemiBin_269.fa,7.52,1.03,0.77,109236,280.9331550802139,406825,0.61,5,124195
SAMEA2466965,LR (metaflye),SemiBin_27.fa,27.83,0.03,0.913,729179,319.873381294964,729179,0.42,1,729179
SAMEA2466965,LR (metaflye),SemiBin_270.fa,6.18,1.54,0.59,74902,279.536023054755,492900,0.47,7,105619
SAMEA2466965,LR (metaflye),SemiBin_271.fa,47.45,16.16,0.477,92305,160.93057907213,5947328,0.46,88,246728
SAMEA2466965,LR (metaflye),SemiBin_272.fa,73.49,64.46,0.854,1745379,345.634341327772,3485103,0.62,2,1745379
SAMEA2466965,LR (metaflye),SemiBin_273.fa,6.15,5.61,0.796,125093,249.8,244089,0.42,2,125093
SAMEA2466965,LR (metaflye),SemiBin_274.fa,4.99,4.1,0.73,130036,239.8324607329843,375194,0.42,3,130395
SAMEA2466965,LR (metaflye),SemiBin_275.fa,4.15,0.01,0.515,91281,155.3396226415094,236740,0.44,3,94029
SAMEA2466965,LR (metaflye),SemiBin_276.fa,41.02,11.6,0.522,77336,196.7951874650252,4024968,0.44,54,270239
SAMEA2466965,LR (metaflye),SemiBin_277.fa,6.1,4.72,0.534,116011,139.2605633802817,329206,0.48,3,122171
SAMEA2466965,LR (metaflye),SemiBin_278.fa,4.19,4.8,0.463,51516,147.2209631728046,334732,0.5,8,85957
SAMEA2466965,LR (metaflye),SemiBin_279.fa,8.34,7.07,0.726,186612,158.0961182994455,348490,0.42,2,186612
SAMEA2466965,LR (metaflye),SemiBin_28.fa,55.7,11.73,0.761,480885,304.1966205837173,2337746,0.42,9,738260
SAMEA2466965,LR (metaflye),SemiBin_280.fa,8.57,1.9,0.715,52565,234.2758037225042,575521,0.55,12,63692
SAMEA2466965,LR (metaflye),SemiBin_281.fa,6.86,11.42,0.563,133247,237.0144230769231,262145,0.44,2,133247
SAMEA2466965,LR (metaflye),SemiBin_282.fa,12.78,1.74,0.705,56943,209.5263662511985,920144,0.55,16,141492
SAMEA2466965,LR (metaflye),SemiBin_283.fa,7.0,6.18,0.741,192759,210.9679633867277,370520,0.37,2,192759
SAMEA2466965,LR (metaflye),SemiBin_284.fa,10.13,2.77,0.773,91503,262.6832460732984,385695,0.51,4,119402
SAMEA2466965,LR (metaflye),SemiBin_285.fa,6.3,4.29,0.885,120391,309.4577777777778,235534,0.41,2,120391
SAMEA2466965,LR (metaflye),SemiBin_286.fa,5.33,5.01,0.596,55317,277.7962962962963,301467,0.57,5,73959
SAMEA2466965,LR (metaflye),SemiBin_287.fa,3.82,3.54,0.702,179725,296.6007462686567,337967,0.5,2,179725
SAMEA2466965,LR (metaflye),SemiBin_288.fa,8.2,1.12,0.763,179524,186.0929292929293,357922,0.38,2,179524
SAMEA2466965,LR (metaflye),SemiBin_289.fa,77.88,51.19,0.498,75964,156.942250162584,21640422,0.46,340,496393
SAMEA2466965,LR (metaflye),SemiBin_29.fa,6.6,0.11,0.554,105295,206.5027027027027,205991,0.46,2,105295
SAMEA2466965,LR (metaflye),SemiBin_290.fa,69.05,32.1,0.531,66935,151.5221229637415,16138240,0.48,302,734345
SAMEA2466965,LR (metaflye),SemiBin_3.fa,63.31,0.36,0.827,710997,262.5197740112994,2177326,0.55,4,924820
SAMEA2466965,LR (metaflye),SemiBin_30.fa,11.49,0.0,0.711,102023,228.3467230443974,454205,0.58,4,174275
SAMEA2466965,LR (metaflye),SemiBin_31.fa,11.56,0.85,0.426,52777,130.3263157894737,949643,0.44,19,88847
SAMEA2466965,LR (metaflye),SemiBin_32.fa,49.27,5.93,0.745,69982,228.4906323185012,2334953,0.48,40,122133
SAMEA2466965,LR (metaflye),SemiBin_33.fa,21.64,0.1,0.847,557080,312.9107142857143,557080,0.42,1,557080
SAMEA2466965,LR (metaflye),SemiBin_34.fa,10.23,0.21,0.639,331207,188.2334217506632,331207,0.42,1,331207
SAMEA2466965,LR (metaflye),SemiBin_35.fa,6.4,0.05,0.512,96042,246.7854406130268,376564,0.42,4,97548
SAMEA2466965,LR (metaflye),SemiBin_36.fa,11.51,0.03,0.622,78992,239.9313501144165,502714,0.39,7,99761
SAMEA2466965,LR (metaflye),SemiBin_37.fa,3.67,0.93,0.587,51387,149.189620758483,377402,0.56,8,73432
SAMEA2466965,LR (metaflye),SemiBin_38.fa,10.88,6.29,0.542,65267,150.2709832134292,686268,0.56,11,90483
SAMEA2466965,LR (metaflye),SemiBin_39.fa,26.68,0.04,0.883,561813,310.8855534709193,561813,0.36,1,561813
SAMEA2466965,LR (metaflye),SemiBin_4.fa,48.02,0.0,0.797,615956,293.0507649513213,1584196,0.41,4,616597
SAMEA2466965,LR (metaflye),SemiBin_40.fa,26.44,0.04,0.882,562021,307.8884758364312,562021,0.36,1,562021
SAMEA2466965,LR (metaflye),SemiBin_41.fa,24.82,0.06,0.872,579025,312.1518518518519,579025,0.57,1,579025
SAMEA2466965,LR (metaflye),SemiBin_42.fa,20.55,0.01,0.822,352362,306.4525316455696,352362,0.41,1,352362
SAMEA2466965,LR (metaflye),SemiBin_43.fa,43.01,0.2,0.768,352536,305.9529837251356,659127,0.43,2,352536
SAMEA2466965,LR (metaflye),SemiBin_44.fa,7.86,1.38,0.518,80304,160.6434231378764,583780,0.33,8,106494
SAMEA2466965,LR (metaflye),SemiBin_45.fa,12.82,0.0,0.857,388990,295.2042440318302,388990,0.41,1,388990
SAMEA2466965,LR (metaflye),SemiBin_46.fa,25.3,0.0,0.733,420026,314.3833075734158,830600,0.42,2,420026
SAMEA2466965,LR (metaflye),SemiBin_47.fa,13.79,0.0,0.628,101506,269.3217922606925,629835,0.59,6,150959
SAMEA2466965,LR (metaflye),SemiBin_48.fa,18.57,3.01,0.562,101648,235.288032454361,1234459,0.59,13,144240
SAMEA2466965,LR (metaflye),SemiBin_49.fa,5.46,0.0,0.63,222414,181.4131274131274,222414,0.43,1,222414
SAMEA2466965,LR (metaflye),SemiBin_5.fa,83.83,0.11,0.777,1700358,301.0511945392491,1700358,0.4,1,1700358
SAMEA2466965,LR (metaflye),SemiBin_50.fa,15.59,0.23,0.724,116790,231.6324237560193,594343,0.43,6,232931
SAMEA2466965,LR (metaflye),SemiBin_51.fa,22.65,0.01,0.71,261897,271.7728658536585,752148,0.56,3,307677
SAMEA2466965,LR (metaflye),SemiBin_52.fa,49.81,11.02,0.729,172180,274.3557046979866,2013787,0.56,11,485294
SAMEA2466965,LR (metaflye),SemiBin_53.fa,13.25,0.56,0.642,84523,243.6194029850746,456621,0.39,6,85943
SAMEA2466965,LR (metaflye),SemiBin_54.fa,21.06,0.01,0.842,432058,262.3810110974106,755393,0.44,2,432058
SAMEA2466965,LR (metaflye),SemiBin_55.fa,23.72,0.24,0.892,756000,304.3770270270271,756000,0.37,1,756000
SAMEA2466965,LR (metaflye),SemiBin_56.fa,23.56,0.24,0.885,759756,304.5739484396201,759756,0.37,1,759756
SAMEA2466965,LR (metaflye),SemiBin_57.fa,13.25,0.0,0.891,360832,304.7414772727273,360832,0.57,1,360832
SAMEA2466965,LR (metaflye),SemiBin_58.fa,14.18,0.01,0.826,547052,257.0305602716468,547052,0.56,1,547052
SAMEA2466965,LR (metaflye),SemiBin_59.fa,29.23,0.09,0.754,202586,296.8935083880379,1610928,0.56,8,539888
SAMEA2466965,LR (metaflye),SemiBin_6.fa,40.66,6.35,0.759,173249,248.6998746867168,1559305,0.45,9,363800
SAMEA2466965,LR (metaflye),SemiBin_60.fa,25.82,1.07,0.666,163780,272.2509090909091,1009978,0.41,5,458313
SAMEA2466965,LR (metaflye),SemiBin_61.fa,12.1,0.0,0.754,170681,320.1803921568628,324705,0.57,2,170681
SAMEA2466965,LR (metaflye),SemiBin_62.fa,12.94,0.04,0.454,761831,222.3192307692308,761831,0.41,1,761831
SAMEA2466965,LR (metaflye),SemiBin_63.fa,25.03,0.08,0.629,572337,194.1788617886179,905872,0.54,2,572337
SAMEA2466965,LR (metaflye),SemiBin_64.fa,6.28,0.0,0.745,205278,349.5958904109589,205278,0.45,1,205278
SAMEA2466965,LR (metaflye),SemiBin_65.fa,14.82,6.6,0.812,231117,375.5031185031185,666488,0.45,3,237946
SAMEA2466965,LR (metaflye),SemiBin_66.fa,11.36,0.01,0.877,331715,331.4914675767918,331715,0.42,1,331715
SAMEA2466965,LR (metaflye),SemiBin_67.fa,11.74,0.04,0.895,343077,333.8338762214984,343077,0.42,1,343077
SAMEA2466965,LR (metaflye),SemiBin_68.fa,11.44,0.0,0.683,115312,275.3979933110368,360896,0.57,4,127876
SAMEA2466965,LR (metaflye),SemiBin_69.fa,19.39,0.0,0.842,595779,359.0557939914163,595779,0.42,1,595779
SAMEA2466965,LR (metaflye),SemiBin_7.fa,31.61,0.01,0.813,612818,297.3844061650045,1207854,0.41,2,612818
SAMEA2466965,LR (metaflye),SemiBin_70.fa,28.37,0.18,0.815,613349,335.5019556714472,946709,0.42,4,613349
SAMEA2466965,LR (metaflye),SemiBin_71.fa,13.62,4.65,0.598,129657,202.2352941176471,979165,0.47,7,218246
SAMEA2466965,LR (metaflye),SemiBin_72.fa,21.5,0.2,0.825,325107,262.6431670281996,874719,0.42,4,329819
SAMEA2466965,LR (metaflye),SemiBin_73.fa,8.75,0.05,0.776,47977,310.2587412587413,341009,0.63,8,76285
SAMEA2466965,LR (metaflye),SemiBin_74.fa,10.48,0.0,0.791,239358,315.715,239358,0.61,1,239358
SAMEA2466965,LR (metaflye),SemiBin_75.fa,16.91,0.0,0.82,265830,333.5871559633027,265830,0.38,1,265830
SAMEA2466965,LR (metaflye),SemiBin_76.fa,13.09,0.0,0.748,122716,286.2485380116959,391003,0.48,3,167918
SAMEA2466965,LR (metaflye),SemiBin_77.fa,9.82,0.56,0.616,450541,228.2948402948403,450541,0.54,1,450541
SAMEA2466965,LR (metaflye),SemiBin_78.fa,10.06,0.03,0.556,136357,166.9728682170543,460603,0.39,4,225533
SAMEA2466965,LR (metaflye),SemiBin_79.fa,14.57,0.0,0.839,268057,309.7223529411765,469871,0.41,2,268057
SAMEA2466965,LR (metaflye),SemiBin_8.fa,27.89,3.4,0.496,360613,174.3526459854015,2298049,0.47,9,588023
SAMEA2466965,LR (metaflye),SemiBin_80.fa,7.2,0.0,0.498,185928,116.8645598194131,618263,0.42,3,289461
SAMEA2466965,LR (metaflye),SemiBin_81.fa,14.0,0.09,0.489,63674,216.5433403805497,626190,0.4,11,93517
SAMEA2466965,LR (metaflye),SemiBin_82.fa,20.33,1.36,0.516,65347,220.0140227870289,1455942,0.48,23,95703
SAMEA2466965,LR (metaflye),SemiBin_83.fa,7.67,0.0,0.739,294143,232.3047619047619,294143,0.58,1,294143
SAMEA2466965,LR (metaflye),SemiBin_84.fa,11.96,0.0,0.773,381121,312.3174603174603,381121,0.42,1,381121
SAMEA2466965,LR (metaflye),SemiBin_85.fa,6.64,0.0,0.727,247084,237.3661417322835,247084,0.42,1,247084
SAMEA2466965,LR (metaflye),SemiBin_86.fa,9.96,0.03,0.788,283641,281.3270676691729,283641,0.5,1,283641
SAMEA2466965,LR (metaflye),SemiBin_87.fa,15.52,0.04,0.782,285152,284.8875255623722,532076,0.52,2,285152
SAMEA2466965,LR (metaflye),SemiBin_88.fa,9.62,0.01,0.837,305149,305.7706093189964,305149,0.58,1,305149
SAMEA2466965,LR (metaflye),SemiBin_89.fa,9.92,0.0,0.601,458819,326.3404255319149,458819,0.46,1,458819
SAMEA2466965,LR (metaflye),SemiBin_9.fa,58.09,0.65,0.763,711017,245.8447528187337,2216855,0.54,3,827472
SAMEA2466965,LR (metaflye),SemiBin_90.fa,13.61,0.0,0.815,301020,250.2016806722689,544848,0.41,2,301020
SAMEA2466965,LR (metaflye),SemiBin_91.fa,17.24,2.89,0.708,121435,254.5030395136778,705352,0.6,6,153475
SAMEA2466965,LR (metaflye),SemiBin_92.fa,23.39,0.05,0.813,171821,312.3666146645866,737517,0.45,4,282818
